item_name,category,description,quantity,price,original_price,discount_percentage,special_discount_percentage,is_active,show_on_shop,is_popular,is_latest,expires_at,ordered_count,last_released_at,next_release_at,youtube_url,image
"4"" Gold Lakshmi",SINGLE FLASH,1 Pkt/5 Pcs,,31,120,70,15,1,0,0,0,,,,,,
"2 3/4"" Kuruvi",SINGLE FLASH,1 Pkt/5 Pcs,,7,28,70,15,1,1,0,0,,,,,,
"4"" Lakshmi",SINGLE FLASH,1 Pkt/5 Pcs,,15,60,70,15,1,1,0,0,,,,,,
"4.5"" Bhagubali",SINGLE FLASH,1 Pkt/5 Pcs,,42,164,70,15,1,1,0,0,,,,,,
"5"" Jallikattu",SINGLE FLASH,1 Pkt/5 Pcs,,46,180,70,15,1,1,0,0,,,,,,
"6"" Kumki",SINGLE FLASH,1 Pkt/5 Pcs,,69,272,70,15,1,1,0,0,,,,,,
"7"" Raider",SINGLE FLASH,1 Pkt /5 Pcs,,92,360,70,15,1,1,0,0,,,,,,
Red Bijili,BIJILI CRACKERS,1 Pkt/50 Pcs ,,18,72,70,15,1,1,0,0,,,,,,
Red Bijili,BIJILI CRACKERS,1 Pkt/100 Pcs ,,43,168,70,15,1,1,0,0,,,,,,
Stripped Bijili,BIJILI CRACKERS,1 Pkt/100 Pcs ,,49,192,70,15,1,1,0,0,,,,,,
Hydro Bomb,BOMB,1 Box/10 Pcs,,67,264,70,15,1,1,0,0,,,,,,
Classic  Commondo Bomb,BOMB,1 Box/10 Pcs,,108,424,70,15,1,1,0,0,,,,,,
Classic Foils,BOMB,1 Box/10 Pcs,,133,520,70,15,1,1,0,0,,,,,,
Animal Bomb,BOMB,1 Box/10 Pcs,,214,840,70,15,1,1,0,0,,,,,,
Digital Bomb,BOMB,1 Box/10 Pcs,,255,1000,70,15,1,1,0,0,,,,,,
Rocket Bomb,ROCKET,1 Box/10 Pcs,,61,240,70,15,1,1,0,0,,,,,,
Lunik Express Rocket,ROCKET,1 Box/10 Pcs,,112,440,70,15,1,1,0,0,,,,,,
Whistling Rocket,ROCKET,1 Box/10 Pcs,,214,840,70,15,1,1,0,0,,,,,,
250G Fighter,PAPER FLASH,1 Box/1 Pce,,53,208,70,15,1,1,0,0,,,,,,
500G Fighter,PAPER FLASH,1 Box/1 Pce,,114,448,70,15,1,1,0,0,,,,,,
1KG Fighter,PAPER FLASH,1 Box/1 Pce,,245,960,70,15,1,1,0,0,,,,,,
1k Radhe  Full,MASS ENTRIES,1 Box/1 Pce,,367,1440,70,15,1,1,0,0,,,,,,
2k Radhe  Full,MASS ENTRIES,1 Box/1 Pce,,734,2880,70,15,1,1,0,0,,,,,,
5K Radhe Full,MASS ENTRIES,1 Box/1 Pce,,1836,7200,70,15,1,1,0,0,,,,,,
7 cm Electric Sparklers,SPARKLERS,1 Box/10 Pcs,,7,28,70,15,1,1,0,0,,,,,,
7 cm Colour Sparkles,SPARKLERS,1 Box/10 Pcs,,9,36,70,15,1,1,0,0,,,,,,
7 cm Green Sparkles,SPARKLERS,1 Box/10 Pcs,,11,44,70,15,1,1,0,0,,,,,,
7 cm Red Sparkles,SPARKLERS,1 Box/10 Pcs,,15,60,70,15,1,1,0,0,,,,,,
10 cm Electric Sparklers,SPARKLERS,1 Box/10 Pcs,,17,68,70,15,1,1,0,0,,,,,,
10 cm Colour Sparkles,SPARKLERS,1 Box/10 Pcs,,20,80,70,15,1,1,0,0,,,,,,
